"","","","","a","a","a","a"
"a.temp","-6115403.16967925","-4148367.45919096","Wetland (2-3)","12122.1770986652","7523.14769969313","4619.81874443123","7089.23467317885"
"a.temp","-6115253.16967925","-4141317.45919096","River (1)","5404.65369948912","11872.5715542757","11158.9394312988","4976.92196557256"
"a.temp","-6115253.16967925","-4141467.45919096","Wetland (2-3)","5537.47384746885","11750.8931707932","11012.527604115","4924.1229931226"
"a.temp","-6115253.16967925","-4141617.45919096","Wetland (2-3)","5671.15081896095","11629.8764099794","10866.2136566237","4875.36893490111"
"a.temp","-6115253.16967925","-4141767.45919096","Wetland (2-3)","5805.62542810002","11509.5421416925","10720.0015966135","4830.78226081437"
"a.temp","-6115253.16967925","-4141917.45919096","River (1)","5940.84351009195","11389.9119975264","10573.8956506765","4790.47933420016"
"a.temp","-6115253.16967925","-4142067.45919096","Wetland (2-3)","6076.75543455565","11271.0083981601","10427.900279126","4754.56909208384"
"a.temp","-6115253.16967925","-4142217.45919096","Wetland (2-3)","6213.315669705","11152.8545812897","10282.0201921313","4723.15172860231"
"a.temp","-6115253.16967925","-4142367.45919096","Wetland (2-3)","6350.4823920236","11035.4746300916","10136.2603671865","4696.31741382533"
"a.temp","-6115253.16967925","-4142517.45919096","Wetland (2-3)","6488.21713657934","10918.8935021547","9990.62606803978","4674.14508240802"
"a.temp","-6115253.16967925","-4142667.45919096","River (1)","6626.48448360078","10803.1370588082","9845.12286522601","4656.7013272701"
"a.temp","-6115253.16967925","-4142817.45919096","River (1)","6765.25177738434","10688.2320947571","9699.75665835985","4644.03943258444"
"a.temp","-6115253.16967925","-4142967.45919096","River (1)","6904.48887401537","10574.2063679217","9554.53370036425","4636.1985776495"
"a.temp","-6115253.16967925","-4145067.45919096","Wetland (2-3)","8890.64995438482","9088.2523243689","7541.07447459558","5020.02263455057"
"a.temp","-6115253.16967925","-4145217.45919096","Wetland (2-3)","9034.48900665682","8991.48849253542","7399.09719029268","5079.65178446319"
"a.temp","-6115253.16967925","-4145367.45919096","Wetland (2-3)","9178.52529611391","8896.20145406998","7257.44267847822","5142.96580305568"
"a.temp","-6115253.16967925","-4145517.45919096","Wetland (2-3)","9322.74968082931","8802.43916828722","7116.13021461785","5209.8303476601"
"a.temp","-6115253.16967925","-4145667.45919096","Wetland (2-3)","9467.15356437208","8710.25087534205","6975.18058772654","5280.11053401349"
"a.temp","-6115253.16967925","-4145817.45919096","Wetland (2-3)","9611.72885652748","8619.68707734782","6834.61624609584","5353.67184756409"
"a.temp","-6115253.16967925","-4145967.45919096","Wetland (2-3)","9756.46793729181","8530.79951185099","6694.4614594004","5430.38094901273"
"a.temp","-6115253.16967925","-4146117.45919096","Wetland (2-3)","9901.36362383501","8443.64111692327","6554.74249924414","5510.10637387341"
"a.temp","-6115253.16967925","-4146267.45919096","Wetland (2-3)","10046.4091401557","8358.26598711702","6415.48784048395","5592.7191285993"
"a.temp","-6115253.16967925","-4146417.45919096","Wetland (2-3)","10191.5980891813","8274.72931952443","6276.72838598242","5678.09318798138"
"a.temp","-6115253.16967925","-4146567.45919096","Wetland (2-3)","10336.9244270916","8193.08734918635","6138.49771779688","5766.10590012017"
"a.temp","-6115253.16967925","-4147917.45919096","Wetland (2-3)","11650.194058959","7553.24402567518","4925.51207808874","6658.68547473156"
"a.temp","-6115253.16967925","-4148067.45919096","Wetland (2-3)","11796.6247974327","7493.79945764483","4795.25851559622","6767.2244865529"
"a.temp","-6115253.16967925","-4148217.45919096","Wetland (2-3)","11943.1441258742","7436.90562743658","4666.19108389253","6877.32231696328"
"a.temp","-6115103.16967925","-4141317.45919096","River (1)","5335.74086808959","11785.9367176052","11127.5054810769","4837.59250572004"
"a.temp","-6115103.16967925","-4141467.45919096","Wetland (2-3)","5470.23451155446","11663.354547959","10980.6745344444","4783.25582123711"
"a.temp","-6115103.16967925","-4141617.45919096","Wetland (2-3)","5605.51519589427","11541.4199434643","10833.9304147385","4733.0509453627"
"a.temp","-6115103.16967925","-4141767.45919096","River (1)","5741.52728909317","11420.1536465757","10687.2766985512","4687.11065064596"
"a.temp","-6115103.16967925","-4141917.45919096","Wetland (2-3)","5878.22002066966","11299.5771740095","10540.7171592542","4645.56145706834"
"a.temp","-6115103.16967925","-4142067.45919096","Wetland (2-3)","6015.54699187046","11179.7128456591","10394.2557805451","4608.52213311371"
"a.temp","-6115103.16967925","-4142217.45919096","Wetland (2-3)","6153.46573984139","11060.5838142205","10247.8967711134","4576.1021897898"
"a.temp","-6115103.16967925","-4142367.45919096","Wetland (2-3)","6291.93734960877","10942.2140954834","10101.6445805322","4548.40040579092"
"a.temp","-6115103.16967925","-4142517.45919096","Wetland (2-3)","6430.92610837676","10824.6285992359","9955.50391649745","4525.50342518919"
"a.temp","-6115103.16967925","-4142667.45919096","Wetland (2-3)","6570.39919726358","10707.8531607132","9809.47976354486","4507.48447045568"
"a.temp","-6115103.16967925","-4142817.45919096","River (1)","6710.32641615905","10591.9145725122","9663.57740339447","4494.40221290877"
"a.temp","-6115103.16967925","-4142967.45919096","River (1)","6850.67993788953","10476.8406168747","9517.80243708579","4486.29983966735"
"a.temp","-6115103.16967925","-4143117.45919096","River (1)","6991.43408832566","10362.6600982275","9372.16080908753","4483.20435084096"
"a.temp","-6115103.16967925","-4144767.45919096","Wetland (2-3)","8560.48103855167","9174.9991450352","7781.03998392226","4771.13259629199"
"a.temp","-6115103.16967925","-4144917.45919096","Wetland (2-3)","8704.60628698408","9074.20213084306","7637.63171614061","4824.51461303622"
"a.temp","-6115103.16967925","-4145067.45919096","Wetland (2-3)","8848.92680563032","8974.78018178701","7494.48151851727","4881.92341719942"
