"","","","","","",""
"a.temp",-6114053.16967925,-4143417.45919096,6999.34022686441,9469.59541434566,8878.41265268722,3444.76911438192
"a.temp",-6114053.16967925,-4143567.45919096,7146.61448599282,9350.33541170564,8729.83655238726,3460.29901184849
"a.temp",-6114053.16967925,-4143717.45919096,7293.99983626285,9231.97201638937,8581.30999506466,3482.22690980925
"a.temp",-6114053.16967925,-4143867.45919096,7441.48967689955,9114.54015907531,8432.83559850402,3510.43291509748
"a.temp",-6114053.16967925,-4144017.45919096,7589.07791575515,8998.07631171222,8284.41616720193,3544.76716462447
"a.temp",-6114053.16967925,-4144167.45919096,7736.75892162879,8882.61855037109,8136.05470921852,3585.05359114754
"a.temp",-6114053.16967925,-4147917.45919096,11448.3978622078,6474.12444361382,4462.76385566145,5887.14567947841
"a.temp",-6114053.16967925,-4148967.45919096,12491.7636309452,6049.63075826933,3463.82826239965,6767.87479578351
"a.temp",-6113903.16967925,-4144167.45919096,7712.1519442632,8786.9938722749,8115.09921266505,3441.67956837935
"a.temp",-6113903.16967925,-4144317.45919096,7860.38310843706,8671.32033264812,7966.40886669752,3489.61219212106
"a.temp",-6113903.16967925,-4144467.45919096,8008.68014165897,8556.71264630271,7817.76855831617,3543.25108500654
"a.temp",-6113903.16967925,-4144617.45919096,8157.03945138203,8443.2142168369,7669.18119693341,3602.34135686779
"a.temp",-6113903.16967925,-4144767.45919096,8305.4577002958,8330.87038138254,7520.64992081117,3666.61945822035
"a.temp",-6113903.16967925,-4144917.45919096,8453.93178417019,8219.72848161038,7372.17811989083,3735.81761484687
"a.temp",-6113903.16967925,-4147767.45919096,11282.6117371557,6415.92560051922,4570.21610335859,5677.92200117272
"a.temp",-6113903.16967925,-4148517.45919096,12028.674183442,6075.91773408744,3844.61314456975,6304.75798515704
"a.temp",-6113903.16967925,-4148817.45919096,12327.2329665422,5960.9434078339,3557.20680188805,6562.73138650376
"a.temp",-6113753.16967925,-4144617.45919096,8136.46984947421,8345.25106341306,7649.88818424146,3466.18122021917
"a.temp",-6113753.16967925,-4144767.45919096,8285.25658090339,8231.57034297812,7500.9748853997,3532.93748195466
"a.temp",-6113753.16967925,-4144917.45919096,8434.08629380818,8119.06923922915,7352.10576851266,3604.70279654234
"a.temp",-6113753.16967925,-4145067.45919096,8582.95675227383,8007.79746942922,7203.28357288516,3681.18421861773
"a.temp",-6113753.16967925,-4145217.45919096,8731.86587227513,7897.80699380512,7054.51126807501,3762.09413111904
"a.temp",-6113753.16967925,-4145367.45919096,8880.81170903894,7789.15209194153,6905.79207849449,3847.15313594356
"a.temp",-6113753.16967925,-4147767.45919096,11267.7494031152,6286.44973823843,4537.7664364088,5592.5260170518
"a.temp",-6113753.16967925,-4148667.45919096,12164.1763638729,5878.57638475493,3660.51010535397,6358.04665376101
"a.temp",-6113753.16967925,-4148817.45919096,12313.6315362855,5821.35682735549,3515.41878463983,6488.9900794655
"a.temp",-6113603.16967925,-4145067.45919096,8566.03733422888,7907.28583721349,7185.87108368896,3554.38690232229
"a.temp",-6113603.16967925,-4145217.45919096,8715.23554537702,7795.87739201926,7036.73064934258,3638.11781714121
"a.temp",-6113603.16967925,-4145367.45919096,8864.46081898968,7685.78163308047,6887.62754737779,3726.00808525698
"a.temp",-6113603.16967925,-4145517.45919096,9013.71181098016,7577.05578119874,6738.56425593742,3817.77045556702
"a.temp",-6113603.16967925,-4145667.45919096,9162.9872646099,7469.75965553091,6589.54347670591,3913.13253690704
"a.temp",-6113603.16967925,-4145817.45919096,9312.28600352262,7363.95575159148,6440.56816060489,4011.83764020935
"a.temp",-6113603.16967925,-4147617.45919096,11105.3451369781,6237.32829915165,4657.99723394059,5384.39051809963
"a.temp",-6113603.16967925,-4148667.45919096,12152.2440566096,5740.90666283631,3626.12509869676,6285.4837722646
"a.temp",-6113453.16967925,-4145517.45919096,9000.10275560247,7473.76232639206,6723.29511708339,3701.74556816112
"a.temp",-6113453.16967925,-4145667.45919096,9149.60024325671,7364.96152816817,6573.92821921547,3800.02042776095
"a.temp",-6113453.16967925,-4145817.45919096,9299.11391539018,7257.63000651021,6424.59082209891,3901.58817039941
"a.temp",-6113453.16967925,-4145967.45919096,9448.64300370182,7151.83391245891,6275.28503188481,4006.19835397608
"a.temp",-6113453.16967925,-4146117.45919096,9598.18678769086,7047.64239383621,6126.01315958411,4113.61887532142
"a.temp",-6113453.16967925,-4146267.45919096,9747.74459100173,6945.12766703374,5976.77774652845,4223.63531231104
"a.temp",-6113453.16967925,-4146417.45919096,9897.31577809881,6844.36507730246,5827.5815937143,4336.05007482626
"a.temp",-6113453.16967925,-4147617.45919096,11094.3021236761,6111.43299982893,4635.88041599416,5302.75496807096
"a.temp",-6113453.16967925,-4148817.45919096,12291.8761631984,5543.81577177655,3449.93727934272,6349.57402125542
"a.temp",-6113453.16967925,-4149717.45919096,13190.3460762561,5259.4774751299,2569.06154682969,7166.27520064657
"a.temp",-6113303.16967925,-4144767.45919096,8240.75382543387,7943.22335776837,7459.75678098134,3140.74740331027
"a.temp",-6113303.16967925,-4145967.45919096,9438.04553980343,7045.50050112818,6262.47963920024,3901.56048926589
"a.temp",-6113303.16967925,-4146117.45919096,9587.75461781347,6939.71269660333,6112.89507773507,4011.78379918469
"a.temp",-6113303.16967925,-4146267.45919096,9737.47265009784,6835.57951540303,5963.33138701831,4124.51745679428
"a.temp",-6113303.16967925,-4146417.45919096,9887.19922988323,6733.1777275962,5813.79017779261,4239.56120977169
"a.temp",-6113303.16967925,-4146567.45919096,10036.933974646,6632.58752760924,5664.27323064467,4356.73206100638
"a.temp",-6113303.16967925,-4146717.45919096,10186.6765243333,6533.89258492957,5514.78251895738,4475.86296164225
"a.temp",-6113303.16967925,-4146867.45919096,10336.4265397382,6437.18007448896,5365.32023568006,4596.80152403832
"a.temp",-6113303.16967925,-4147017.45919096,10486.1837010136,6342.54068267581,5215.88882467773,4719.40878197694
"a.temp",-6113303.16967925,-4147167.45919096,10635.947706312,6250.06858453552,5066.49101759769,4843.55801569477
"a.temp",-6113303.16967925,-4147317.45919096,10785.7182705374,6159.86138735263,4917.12987741814,4969.13365199621
"a.temp",-6113303.16967925,-4147467.45919096,10935.4951242001,6072.02003549049,4767.80885013212,5096.030244357
"a.temp",-6113303.16967925,-4147617.45919096,11085.2780123641,5986.64867111793,4618.53182639226,5224.15153411549
"a.temp",-6113303.16967925,-4147767.45919096,11235.0666936785,5903.85444530927,4469.30321542389,5353.40959122327
"a.temp",-6113303.16967925,-4148817.45919096,12283.731868264,5405.9450895656,3426.58959191186,6284.07823402937
"a.temp",-6113303.16967925,-4149567.45919096,13032.9100208436,5152.8552581456,2685.2730273473,6969.6351591315
"a.temp",-6113303.16967925,-4149717.45919096,13182.756866885,5113.94684284055,2537.62216088192,7108.30846625286
"a.temp",-6113303.16967925,-4150017.45919096,13482.460777299,5048.61588075374,2243.2557213566,7386.98309537812
"a.temp",-6113153.16967925,-4143567.45919096,7033.36282381355,8829.82821528236,8651.11208061696,2569.81774672831
"a.temp",-6113153.16967925,-4144917.45919096,8381.12209739263,7732.44342439032,7302.14045546902,3097.43091148137
"a.temp",-6113153.16967925,-4145067.45919096,8530.91686815685,7615.52469048568,7152.27867405887,3186.11256100602
"a.temp",-6113153.16967925,-4145217.45919096,8680.71872666101,7499.78341763261,7002.42281152726,3279.26032077363
"a.temp",-6113153.16967925,-4145367.45919096,8830.52731219395,7385.2749651856,6852.57325618613,3376.50459075661
"a.temp",-6113153.16967925,-4145517.45919096,8980.34228809811,7272.05757068777,6702.7304310555,3477.50172557837
"a.temp",-6113153.16967925,-4145667.45919096,9130.16333979866,7160.19247725906,6552.89479782771,3581.93428909585
"a.temp",-6113153.16967925,-4145817.45919096,9279.990173023,7049.74405999235,6403.06686138741,3689.51057071268
"a.temp",-6113153.16967925,-4145967.45919096,9429.8225121899,6940.77994978932,6253.24717498018,3799.96358553614
"a.temp",-6113153.16967925,-4146117.45919096,9579.66009894941,6833.37115276183,6103.43634614122,3913.04973791552
"a.temp",-6113153.16967925,-4146267.45919096,9729.50269085751,6727.59216298057,5953.63504351734,4028.5472879688
"a.temp",-6113153.16967925,-4147317.45919096,10778.5234430048,6039.80474116489,4905.36596304477,4889.76873189328
"a.temp",-6113153.16967925,-4147917.45919096,11378.0449819556,5696.61138848335,4306.73370797387,5411.91077637108
"a.temp",-6113153.16967925,-4148067.45919096,11527.9331456859,5617.55429981751,4157.13726395923,5544.90876853727
"a.temp",-6113153.16967925,-4148217.45919096,11677.8241813877,5541.43043910128,4007.57098894062,5678.7541108417
"a.temp",-6113153.16967925,-4148667.45919096,12127.5134554205,5331.8905006947,3559.0912086372,6084.81332921575
"a.temp",-6113153.16967925,-4148817.45919096,12277.4149401006,5268.73716476714,3409.68696970832,6221.51012627977
"a.temp",-6113153.16967925,-4149567.45919096,13026.9563832618,5008.71902899322,2663.67044346687,6913.27442326731
"a.temp",-6113153.16967925,-4150017.45919096,13476.7057403286,4901.41523556196,2217.35094908297,7333.8303942348
"a.temp",-6113003.16967925,-4143417.45919096,6875.66044910614,8876.41145460239,8797.0082545941,2399.84942265129
"a.temp",-6113003.16967925,-4143567.45919096,7025.52785286647,8749.06939687854,8647.0335509582,2422.08840701569
"a.temp",-6113003.16967925,-4145817.45919096,9274.05340783648,6948.32643961101,6397.55533242172,3588.18021445421
"a.temp",-6113003.16967925,-4145967.45919096,9423.98013640752,6837.74636202583,6247.6034790468,3701.65804085152
"a.temp",-6113003.16967925,-4147467.45919096,10923.3580739351,5829.6762612857,4748.25222912581,4944.65592851528
"a.temp",-6113003.16967925,-4148067.45919096,11523.1545859371,5489.74182556869,4148.64305904936,5478.00714232845
"a.temp",-6113003.16967925,-4148367.45919096,11823.0605856269,5336.9781067003,3848.88415406317,5749.61148699646
"a.temp",-6113003.16967925,-4148517.45919096,11973.0153516733,5265.3461720383,3699.01936077639,5886.44776171518
"a.temp",-6113003.16967925,-4149867.45919096,13322.6540753487,4786.82413625139,2351.01238435681,7141.80525157345
"a.temp",-6113003.16967925,-4150017.45919096,13472.618402204,4754.38958346904,2201.38461687165,7283.37952130755
"a.temp",-6113003.16967925,-4150167.45919096,13622.5835145689,4726.49503452601,2051.81120754304,7425.28465793752
"a.temp",-6112853.16967925,-4143417.45919096,6870.92101623956,8798.63792364457,8795.55587961311,2250.96118389451
"a.temp",-6112853.16967925,-4147617.45919096,11070.3629394616,5619.69832921644,4595.56125314398,5007.93432978123
"a.temp",-6112853.16967925,-4148217.45919096,11670.3160030654,5283.28962970972,3995.56294299045,5551.42740665872
"a.temp",-6112853.16967925,-4150017.45919096,13470.2002810428,4607.55567642964,2195.5735540854,7235.68699235962
"a.temp",-6112853.16967925,-4150167.45919096,13620.1920181547,4578.76668016607,2045.57528128378,7378.50941934767
"a.temp",-6112703.16967925,-4143417.45919096,6869.45446243023,8722.75061614148,8796.66142530203,2102.23101760958
"a.temp",-6112703.16967925,-4147767.45919096,11219.4527322595,5409.88847495012,4447.74855757364,5079.29032950484
"a.temp",-6112703.16967925,-4148217.45919096,11669.4526268975,5155.91876501156,3997.99602693631,5492.80395166272
"a.temp",-6112703.16967925,-4150167.45919096,13619.4522507847,4431.19095857976,2050.32368942059,7334.50409035282
"a.temp",-6112703.16967925,-4150317.45919096,13769.4522262654,4406.35771487054,1900.70045809415,7478.44805099309
"a.temp",-6112553.16967925,-4143117.45919096,6571.34564692822,8912.10734402344,9100.16654965153,1933.24966090769
"a.temp",-6112553.16967925,-4143267.45919096,6721.30334171897,8780.15901401543,8950.24392021786,1937.70205434163
"a.temp",-6112553.16967925,-4143417.45919096,6871.26288329901,8648.79918320437,8800.32392764021,1953.69502517661
"a.temp",-6112553.16967925,-4147917.45919096,11370.545440365,5200.26704231602,4305.31662382669,5158.38872627892
"a.temp",-6112553.16967925,-4148217.45919096,11670.5172812264,5029.79595126863,4006.04808151357,5437.68739919845
"a.temp",-6112553.16967925,-4150317.45919096,13770.3545201787,4258.0908059128,1917.57952413957,7438.05984456985
"a.temp",-6112403.16967925,-4142967.45919096,6426.82640277473,8975.82705444999,9256.00590057054,1791.02435812573
"a.temp",-6112403.16967925,-4148067.45919096,11523.562279582,4990.85777310858,4168.81700622593,5244.87924087882
"a.temp",-6112403.16967925,-4148217.45919096,11673.5094385281,4905.01746290453,4019.6853398492,5386.18540819026
"a.temp",-6112403.16967925,-4150467.45919096,13922.853429215,4088.66987067912,1800.10978315197,7546.1591721486
"a.temp",-6112253.16967925,-4142967.45919096,6435.75532563214,8909.03026773377,9264.34532125161,1641.74213913138
"a.temp",-6112253.16967925,-4148067.45919096,11528.5444272642,4869.70330835446,4187.30035122853,5195.79707565659
"a.temp",-6112253.16967925,-4148217.45919096,11678.4276172524,4781.68854186452,4038.85122669783,5338.40259360435
"a.temp",-6112253.16967925,-4148367.45919096,11828.3137687248,4696.81597589244,3890.5210745347,5481.40285432495
"a.temp",-6112253.16967925,-4150467.45919096,13926.977296291,3939.86932669083,1842.51030699951,7512.12801085035
"a.temp",-6112103.16967925,-4142967.45919096,6448.1621886707,8844.27324947598,9275.10340812417,1492.60384945226
"a.temp",-6112103.16967925,-4148217.45919096,11685.2693854872,4659.92428172373,4063.46751326975,5294.43965414676
"a.temp",-6112103.16967925,-4148367.45919096,11835.0688891702,4572.79228824123,3916.06987059714,5438.59598162998
"a.temp",-6112103.16967925,-4150467.45919096,13932.7149404344,3791.16331900899,1895.86213406974,7480.95022382869
"a.temp",-6111953.16967925,-4142967.45919096,6464.02696555348,8781.60112458978,9288.27175697377,1343.65741593597
"a.temp",-6111953.16967925,-4148367.45919096,11843.7200495201,4450.36833435149,3947.15748753438,5399.61806532663
"a.temp",-6111953.16967925,-4150317.45919096,13790.2885978287,3666.43332291741,2094.01700838351,7305.13040618732
"a.temp",-6111803.16967925,-4142817.45919096,6334.83690487786,8858.96903208248,9452.91522396116,1225.04255085271
"a.temp",-6111803.16967925,-4148367.45919096,11854.2630986242,4329.679816268,3983.6542560065,5364.55256767997
"a.temp",-6111803.16967925,-4148517.45919096,12003.8280815498,4241.06853415487,3839.05408029097,5510.9581064822
"a.temp",-6111803.16967925,-4150167.45919096,13649.6730221425,3550.0066635711,2294.67235818088,7131.28629711376
"a.temp",-6111803.16967925,-4150317.45919096,13799.3444993378,3518.96040207889,2162.02595530198,7279.24990994282
"a.temp",-6111803.16967925,-4150467.45919096,13949.023034299,3494.0831861018,2031.7950761333,7427.2952177359
"a.temp",-6111653.16967925,-4142667.45919096,6210.20713111909,8940.7016677326,9619.41891339579,1134.03846998225
"a.temp",-6111653.16967925,-4148367.45919096,11866.692993897,4210.87595535638,4025.41305102951,5333.4766570598
"a.temp",-6111653.16967925,-4148517.45919096,12016.1032623478,4119.71010040738,3882.36850793415,5480.71238539315
"a.temp",-6111653.16967925,-4149417.45919096,12912.852032429,3655.16365042647,3038.22238017548,6366.83738220179
"a.temp",-6111653.16967925,-4149567.45919096,13062.353639808,3593.8497897657,2900.79820590802,6514.89472297153
"a.temp",-6111653.16967925,-4149717.45919096,13211.8665453222,3537.83709509059,2764.68175951578,6663.03896517215
"a.temp",-6111653.16967925,-4149867.45919096,13361.390369696,3487.38101035707,2630.07608851898,6811.26443851671
"a.temp",-6111653.16967925,-4150017.45919096,13510.9247504161,3442.72585481318,2497.22550671728,6959.56595280212
"a.temp",-6111653.16967925,-4150167.45919096,13660.4693408171,3404.09992676467,2366.42562346663,7107.93874842788
"a.temp",-6111653.16967925,-4150317.45919096,13810.0238092266,3371.71044299466,2238.03602102367,7256.37845287872
